NAME                                                                           VERSION                                TYPE        
acl-libs                                                                       2.3.2-r1                               apk          
alpine-baselayout                                                              3.7.2-r1                               apk          
alpine-baselayout-data                                                         3.7.2-r1                               apk          
alpine-keys                                                                    2.6-r0                                 apk          
alpine-release                                                                 3.24.1-r0                              apk          
apk-tools                                                                      3.0.7-r0                               apk          
bash                                                                           5.3.9-r1                               apk          
bc                                                                             1.08.2-r1                              apk          
brotli-libs                                                                    1.2.0-r1                               apk          
busybox                                                                        1.37.0-r31                             apk          
busybox-binsh                                                                  1.37.0-r31                             apk          
c-ares                                                                         1.34.8-r0                              apk          
ca-certificates                                                                20260611-r0                            apk          
ca-certificates-bundle                                                         20260611-r0                            apk          
catatonit                                                                      0.2.1-r0                               apk          
cloud.google.com/go/auth                                                       v0.17.0                                go-module    
cloud.google.com/go/auth/oauth2adapt                                           v0.2.8                                 go-module    
cloud.google.com/go/compute/metadata                                           v0.9.0                                 go-module    
coredns                                                                        1.13.2-r5                              apk          
coreutils                                                                      9.11-r0                                apk          
coreutils-env                                                                  9.11-r0                                apk          
coreutils-fmt                                                                  9.11-r0                                apk          
coreutils-sha512sum                                                            9.11-r0                                apk          
curl                                                                           8.21.0-r0                              apk          
findutils                                                                      4.10.0-r1                              apk          
github.com/Azure/azure-sdk-for-go                                              v68.0.0+incompatible                   go-module    
github.com/Azure/go-autorest/autorest                                          v0.11.30                               go-module    
github.com/Azure/go-autorest/autorest/adal                                     v0.9.22                                go-module    
github.com/Azure/go-autorest/autorest/azure/auth                               v0.5.13                                go-module    
github.com/Azure/go-autorest/autorest/azure/cli                                v0.4.6                                 go-module    
github.com/Azure/go-autorest/autorest/date                                     v0.3.0                                 go-module    
github.com/Azure/go-autorest/autorest/to                                       v0.2.0                                 go-module    
github.com/Azure/go-autorest/logger                                            v0.2.1                                 go-module    
github.com/Azure/go-autorest/tracing                                           v0.6.0                                 go-module    
github.com/DataDog/datadog-agent/comp/core/tagger/origindetection              v0.71.0                                go-module    
github.com/DataDog/datadog-agent/pkg/obfuscate                                 v0.71.0                                go-module    
github.com/DataDog/datadog-agent/pkg/opentelemetry-mapping-go/otlp/attributes  v0.71.0                                go-module    
github.com/DataDog/datadog-agent/pkg/proto                                     v0.71.0                                go-module    
